faction_to_faction_groups_junctions_tables	0
faction_group_key	faction_key
ovn_group_belakor	wh2_main_nor_harbingers_of_doom
wh_main_fact_group_norsca	wh2_main_nor_servants_of_fimulneid
wh_main_fact_group_norsca	wh2_main_nor_rotbloods
wh_main_fact_group_vampire_counts	wh2_main_vmp_blood_dragons
ovn_group_grudge	wh2_main_emp_grudgebringers
wh_main_fact_group_empire	wh2_main_emp_the_moot
ovn_group_albion	wh2_main_nor_albion
ovn_group_trollz	wh2_main_nor_trollz
ovn_group_araby	wh2_main_arb_caliphate_of_araby
ovn_group_araby	wh2_main_arb_aswad_scythans
ovn_group_araby	wh2_main_arb_flaming_scimitar
ovn_group_amazon	wh2_main_amz_amazons
