campaign_cultural_relations_tables	0
attitude_base	campaign	positive_attitude_multiplier	negative_attitude_multiplier	source	target
-20.0		1.0	1.0	wh2_dlc11_sc_cst_vampire_coast	wh_main_sc_nor_fimir
-30.0		1.0	1.0	wh2_main_sc_def_dark_elves	wh_main_sc_nor_fimir
-40.0		1.0	1.0	wh2_main_sc_hef_high_elves	wh_main_sc_nor_fimir
-30.0		1.0	1.0	wh2_main_sc_lzd_lizardmen	wh_main_sc_nor_fimir
0.0		1.0	1.0	wh2_main_sc_skv_skaven	wh_main_sc_nor_fimir
0.0		1.0	1.0	wh_dlc03_sc_bst_beastmen	wh_main_sc_nor_fimir
-60.0		1.0	1.0	wh_dlc05_sc_wef_wood_elves	wh_main_sc_nor_fimir
-60.0		1.0	1.0	wh_main_sc_brt_bretonnia	wh_main_sc_nor_fimir
0.0		1.0	1.0	wh_main_sc_chs_chaos	wh_main_sc_nor_fimir
-40.0		1.0	1.0	wh_main_sc_dwf_dwarfs	wh_main_sc_nor_fimir
-40.0		1.0	1.0	wh_main_sc_emp_empire	wh_main_sc_nor_fimir
20.0		1.0	1.0	wh_main_sc_grn_greenskins	wh_main_sc_nor_fimir
10.0		1.0	1.0	wh_main_sc_grn_savage_orcs	wh_main_sc_nor_fimir
-40.0		1.0	1.0	wh_main_sc_ksl_kislev	wh_main_sc_nor_fimir
-20.0		1.0	1.0	wh_main_sc_nor_fimir	wh2_dlc11_sc_cst_vampire_coast
-30.0		1.0	1.0	wh_main_sc_nor_fimir	wh2_main_sc_def_dark_elves
-40.0		1.0	1.0	wh_main_sc_nor_fimir	wh2_main_sc_hef_high_elves
-30.0		1.0	1.0	wh_main_sc_nor_fimir	wh2_main_sc_lzd_lizardmen
0.0		1.0	1.0	wh_main_sc_nor_fimir	wh2_main_sc_skv_skaven
0.0		1.0	1.0	wh_main_sc_nor_fimir	wh_dlc03_sc_bst_beastmen
-60.0		1.0	1.0	wh_main_sc_nor_fimir	wh_dlc05_sc_wef_wood_elves
-40.0		1.0	1.0	wh_main_sc_nor_fimir	wh_main_sc_brt_bretonnia
15.0		1.0	1.0	wh_main_sc_nor_fimir	wh_main_sc_chs_chaos
-40.0		1.0	1.0	wh_main_sc_nor_fimir	wh_main_sc_dwf_dwarfs
-40.0		1.0	1.0	wh_main_sc_nor_fimir	wh_main_sc_emp_empire
20.0		1.0	1.0	wh_main_sc_nor_fimir	wh_main_sc_grn_greenskins
10.0		1.0	1.0	wh_main_sc_nor_fimir	wh_main_sc_grn_savage_orcs
-40.0		1.0	1.0	wh_main_sc_nor_fimir	wh_main_sc_ksl_kislev
-10.0		1.0	1.0	wh_main_sc_nor_fimir	wh_main_sc_nor_warp
-40.0		1.0	1.0	wh_main_sc_nor_fimir	wh_main_sc_teb_teb
-30.0		1.0	1.0	wh_main_sc_nor_fimir	wh_main_sc_vmp_vampire_counts
-40.0		1.0	1.0	wh_main_sc_teb_teb	wh_main_sc_nor_fimir
-40.0		1.0	1.0	wh_main_sc_vmp_vampire_counts	wh_main_sc_nor_fimir
-10.0		0.0	0.0	wh_main_sc_nor_fimir	wh_main_sc_nor_troll
-5.0		0.0	0.0	wh_main_sc_nor_fimir	wh_main_sc_nor_norsca
-5.0		0.0	0.0	wh_main_sc_nor_norsca	wh_main_sc_nor_fimir
-12.0		0.0	0.0	wh_main_sc_nor_fimir	wh_main_sc_nor_albion
-20.0		1.0	1.0	wh_main_sc_nor_fimir	wh_main_sc_emp_araby
-30.0		1.0	1.0	wh_main_sc_nor_fimir	wh_main_sc_lzd_amazon
0.0		0.0	0.0	wh_main_sc_nor_fimir	wh_main_sc_nor_fimir
-30.0		1.0	1.0	wh_main_sc_nor_fimir	wh2_dlc09_sc_tmb_tomb_kings
-30.0		1.0	1.0	wh2_dlc09_sc_tmb_tomb_kings	wh_main_sc_nor_fimir
