campaign_group_member_criteria_factions_tables	0
faction	member
wh2_main_nor_servants_of_fimulneid	diplomacy_Subcult_Fimir_&_Negative
wh2_main_nor_servants_of_fimulneid	diplomacy_Subcult_Fimir_&_Positive
wh2_main_nor_servants_of_fimulneid	diplomacy_Subcult_Fimir
wh2_main_nor_rotbloods	diplomacy_Subcult_Warp_&_Negative
wh2_main_nor_rotbloods	diplomacy_Subcult_Warp_&_Positive
wh2_main_nor_rotbloods	diplomacy_Subcult_Warp
wh2_main_nor_harbingers_of_doom	diplomacy_Subcult_Treeblood_Fimir_&_Negative
wh2_main_nor_harbingers_of_doom	diplomacy_Subcult_Treeblood_Fimir_&_Positive
wh2_main_nor_harbingers_of_doom	diplomacy_Subcult_Treeblood_Fimir
