Loc PackedFile	1
key	text	tooltip
unit_description_short_texts_text_elo_fenbeast	Fenbeasts are magical constructs, made of the foul mud and rotting wood of Albion. They are powered by the shard of an Ogham Stone within their body and said to be animated by the souls of those who died in the swamps.	true
unit_description_short_texts_text_elo_albion_cha_queen	Queen	true
unit_description_short_texts_text_elo_albion_warriors	For the fierce barbarians of Albion, war is an integral part of life. Every able man knows how to fight and will defend his homeland in times of peril.	true
unit_description_short_texts_text_elo_youngbloods	Youngbloods are apprentice warriors, too inexperienced to be part of a regular warband. They hurl javelins at their opponents to gain battle experience and will avoid the danger of melee as well as they can.	true
unit_description_short_texts_text_elo_woadraider	In battle, Woad Raiders fight with wild abandon, putting all their trust into the protection granted by the magical patterns covering their body.	true
unit_description_short_texts_text_elo_bloodhounds	Dogs serve as companions for hunters and shepards in peace times. In war, they are starved and then released in packs on vulnerable targets.	true
unit_description_short_texts_text_druid_neophytes	Druid Neophytes are magically gifted apprentices, following the path of the Truthsayers. They are sent out in battle to provide support for their fellow clansmen and learn to wield their magic in battle.	true
unit_description_short_texts_text_albion_stonethrower	Stonethrowers are a result of contact between the natives of Albion and outside forces. They are rather poorly constructed, but sufficient for the task they are meant to perform.	true
unit_description_short_texts_text_albion_giant	The legendary giants of Albion were the last gift of the Old Ones to the inhabitants of Albion. Like all giants, they are but a shadow of their ancestors glory, however they may haven't fallen as low as their kin outside of Albion...yet.	true
unit_description_short_texts_text_albion_huntresses	Huntresses perform a dual role for the tribes of Albion, providing both, food and ranged support in times of need.	true
unit_description_short_texts_text_albion_riders	Only wealthier warriors can afford horses in Albion. This fact makes these warriors often insufferably arrogant. Nevertheless they are excellent light cavalary. 	true
unit_description_short_texts_text_albion_hearthguard	Hearthguard are the military aristocracy of Albion. They are professional warriors, forming the hard core of Albion armies and serve as bodyguards for chieftains and warlords.	true
unit_description_short_texts_text_albion_chariot	Chariots are popular among the Albion warrior nobility and chariot races are a popular pass time on the plains.	true
unit_description_short_texts_text_albion_truthsayer	The first Truthsayers were pupils of the Old Ones themselves. Much of the knowledge they were taught has been lost over the ages though, but even so Truthsayers still wield strong magical powers.	true
unit_description_short_texts_text_albion_centaurs	Centaurs roam the plains of Albion. They are proud and independant, but in times of peril they will join forces with the clans. 	true
unit_description_short_texts_text_albion_fenhulk	A Fenhulk is a gargantuan variant of the fenbeast. A whole Ogham Stone is needed to animate this terrifying construct, which is one of the reasons why Truthsayers rarely summon one.	true
unit_description_short_texts_text_albion_warleader	Warleaders are the strongest and fiercest warriors of Albion. They usually have command over the warbands of several tribes and clans and will be called upon whenever the people of Albion have to wage war on a larger scale.	true
unit_description_short_texts_text_albion_chief	A Chieftan is a mighty warrior who gained leadership of a whole clan or tribe. In war, they serve as officers of a Warleader. New Warleaders usually emerge from the ranks of the mightiest Chieftains.	true
unit_description_short_texts_text_albion_morrigan_bird	No one knows the exact origin of the mysterious woman called Morrigan. Most inhabitants of Albion believe that she is a goddess of death and war who will sometimes aid her people when they are in great danger.	true
unit_description_short_texts_text_albion_half_giants	It is unknown whether or not Half-Giants really bear the blood of Giants as they claim, but their strength makes them a welcome addition to each Albion warband either way.	true
unit_description_short_texts_text_albion_wyrd_druid	Wyrd Druids have walked the Path of the Truthsayers, but either failed or left this path on their own. Despite only being able to cast simpler spells, they are still highly valued and often employed by chieftains as their personal advisors.	true
unit_description_short_texts_text_albion_wyrd_druid_horse	Wyrd Druids have walked the Path of the Truthsayers, but either failed or left this path on their own. Despite only being able to cast simpler spells, they are still highly valued and often employed by chieftains as their personal advisors.	true
unit_description_short_texts_text_wh2_main_nor_Albion_swordmaiden	It is traditional in Albion's society for females to hold honorary warrior positions and they are as fierce and respected as their male counterparts.	true
unit_description_short_texts_text_albion_morrigan	No one knows the exact origin of the mysterious woman called Morrigan. Most inhabitants of Albion believe that she is a goddess of death and war who will sometimes aid her people when they are in great danger.	true
unit_description_short_texts_text_albion_highlanders	The people of the Highlands of Albion are reclusive and fiercly independant from the other tribes of Albion. Their skills and will have been honed by their harsh homeland and their mighty warriors are a welcome addition to any army.	true
unit_description_short_texts_text_ovn_barrow_wight	Mighty kings and warriors of Albion who left this mortal plain long ago still rise up in defense of their sacred resting place and homeland.	true
unit_description_short_texts_text_albion_shieldmaiden_ror	Sworn to protect the Oracle with their lives, the Maidenguard are highly capable defenders.	true
unit_description_short_texts_text_albion_bologs_giant_ror	Bologs is the mightiest Giant of Albion - at least in terms of sheer strength. He is not very intelligent though, his name being the only means of communication and is also used as his battlecry.	true
unit_description_short_texts_text_elo_fly_infested_rotwood	The Fly-Infested Rotwood is a group of legendary Fenbeasts, risen from an especially corrupted, polluted swamp by a Truthsayer of old - a feat never accomplished before or after.	true
unit_description_short_texts_text_albion_woadraider_sworn_ror	The Bloodsworn are warriors who have dishonored themselves. To regain their honor, they serve amongst the Bloodsworn, frenzied warriors who will never retreat. Should they survive 5 years of service, their crimes will be forgiven and they may return to their old lifes.	true
