resource_costs_tables	2
id	treasury_cost	expenditure_type	income_type
ovn_araby_victories_lzd	-3000	RITUAL	RITUAL
ovn_araby_victories_dwarfs	-3000	RITUAL	RITUAL
ovn_araby_victories_def	-3000	RITUAL	RITUAL
ovn_araby_victories_hef	-3000	RITUAL	RITUAL
ovn_araby_victories_men	-3000	RITUAL	RITUAL
ovn_araby_victories_undead	-3000	RITUAL	RITUAL
ovn_araby_victories_chaos	-3000	RITUAL	RITUAL
ovn_araby_victories_skv	-3000	RITUAL	RITUAL
ovn_araby_victories_nor	-3000	RITUAL	RITUAL
ovn_araby_victories_we	-3000	RITUAL	RITUAL
ovn_araby_victories_grn	-3000	RITUAL	RITUAL
ovn_araby_victories_bst	-3000	RITUAL	RITUAL
ovn_araby_victories_tmb	-3000	RITUAL	RITUAL
ovn_araby_victories_lzd_12	-12000	RITUAL	RITUAL
ovn_araby_victories_def_15	-15000	RITUAL	RITUAL
ovn_araby_victories_def_10	-10000	RITUAL	RITUAL
