cdir_events_mission_option_junctions_tables	2
id	mission_key	option_key	value
250590001	ovn_grudge_vortex_move_to_swem	VAR_OBJECTIVE_PROVINCE	wh2_main_vor_southlands_world_edge_mountains
250590002	ovn_grudge_vortex_move_to_swem	VAR_CHANCE	100
250590004	ovn_grudge_vortex_move_to_swem	GEN_TARGET_NONE	
250590005	ovn_grudge_vortex_move_to_swem	CND_CAMPAIGN	wh2_main_great_vortex
250590006	ovn_grudge_vortex_take_morgheim	GEN_TARGET_REGION	
250590007	ovn_grudge_vortex_take_morgheim	VAR_CHANCE	100
250590008	ovn_grudge_vortex_take_morgheim	GEN_CND_REGION	wh2_main_vor_southern_badlands_galbaraz
250590009	ovn_grudge_vortex_take_morgheim	CND_CAMPAIGN	wh2_main_great_vortex
250590010	ovn_grudge_vortex_take_morgheim	VAR_MISSION_LENGTH_MAX	20
250590011	ovn_grudge_vortex_take_morgheim	VAR_MISSION_LENGTH_MIN	16
250590012	ovn_grudge_vortex_take_morgheim	VAR_MISSION_LENGTH_ADDITIONAL_MAX	2
250590013	ovn_grudge_vortex_take_morgheim	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
250590014	ovn_grudge_vortex_take_morgheim	VAR_MISSION_LENGTH_MOD_EASY	2.0
250590015	ovn_grudge_vortex_take_morgheim	VAR_MISSION_LENGTH_MOD_HARD	1.2
250590016	ovn_grudge_vortex_take_morgheim	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
250590017	ovn_grudge_vortex_take_morgheim	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
250590018	ovn_grudge_vortex_take_zandri	GEN_TARGET_REGION	
250590019	ovn_grudge_vortex_take_zandri	VAR_CHANCE	100
250590020	ovn_grudge_vortex_take_zandri	GEN_CND_REGION	wh2_main_vor_land_of_the_dead_zandri
250590021	ovn_grudge_vortex_take_zandri	CND_CAMPAIGN	wh2_main_great_vortex
250590022	ovn_grudge_vortex_take_zandri	VAR_MISSION_LENGTH_MAX	20
250590023	ovn_grudge_vortex_take_zandri	VAR_MISSION_LENGTH_MIN	16
250590024	ovn_grudge_vortex_take_zandri	VAR_MISSION_LENGTH_ADDITIONAL_MAX	2
250590025	ovn_grudge_vortex_take_zandri	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
250590026	ovn_grudge_vortex_take_zandri	VAR_MISSION_LENGTH_MOD_EASY	2.0
250590027	ovn_grudge_vortex_take_zandri	VAR_MISSION_LENGTH_MOD_HARD	1.2
250590028	ovn_grudge_vortex_take_zandri	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
250590029	ovn_grudge_vortex_take_zandri	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
250590030	ovn_grudge_vortex_take_kasabar	GEN_TARGET_REGION	
250590031	ovn_grudge_vortex_take_kasabar	VAR_CHANCE	100
250590032	ovn_grudge_vortex_take_kasabar	GEN_CND_REGION	wh2_main_vor_shifting_sands_ka-sabar
250590033	ovn_grudge_vortex_take_kasabar	CND_CAMPAIGN	wh2_main_great_vortex
250590034	ovn_grudge_vortex_take_kasabar	VAR_MISSION_LENGTH_MAX	14
250590035	ovn_grudge_vortex_take_kasabar	VAR_MISSION_LENGTH_MIN	10
250590036	ovn_grudge_vortex_take_kasabar	VAR_MISSION_LENGTH_ADDITIONAL_MAX	2
250590037	ovn_grudge_vortex_take_kasabar	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
250590038	ovn_grudge_vortex_take_kasabar	VAR_MISSION_LENGTH_MOD_EASY	2.0
250590039	ovn_grudge_vortex_take_kasabar	VAR_MISSION_LENGTH_MOD_HARD	1.2
250590040	ovn_grudge_vortex_take_kasabar	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
250590041	ovn_grudge_vortex_take_kasabar	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
