building_upgrades_junction_tables	0
from	to
ovn_warp_military_1	ovn_warp_military_2
ovn_warp_military_2	ovn_warp_military_3
ovn_warp_military_3	ovn_warp_military_4
ovn_warp_stables_1	ovn_warp_stables_2
ovn_warp_stables_2	ovn_warp_stables_3
ovn_warp_stables_3	ovn_warp_stables_4
ovn_rot_stables_1	ovn_rot_stables_2
ovn_rot_stables_2	ovn_rot_stables_3
ovn_rot_stables_3	ovn_rot_stables_4
ovn_rot_stables_4	ovn_rot_stables_5
ovn_rot_military_1	ovn_rot_military_2
ovn_rot_military_2	ovn_rot_military_3
ovn_rot_military_3	ovn_rot_military_4
ovn_rot_military_4	ovn_rot_military_5
ovn_rot_monsters_1	ovn_rot_monsters_2
ovn_rot_monsters_2	ovn_rot_monsters_3
ovn_rot_monsters_3	ovn_rot_monsters_4
ovn_warp_skaven_mercs	ovn_warp_skaven_mercs_2
ovn_warp_skaven_mercs_2	ovn_warp_skaven_mercs_3
ovn_warp_skaven_mercs_3	ovn_warp_skaven_mercs_4
ovn_warp_skaven_mercs_4	ovn_warp_skaven_mercs_5
