variants_tables	6
variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
nurgle_chs_chaos_knight_lance		nurgle_chs_chaos_knight_lance	hu1c\chs\chs_warriors_of_chaos\low_poly\chs_warriors_knights_lance_lowlod	1.0	1.0	0.05	hu1\imposter\humanoid_imposter
nurgle_chs_forsaken		nurgle_chs_forsaken	hu1c\chs\chs_forsaken\low_poly\chs_forsaken_lowlod	1.0	1.1	0.05	
nurgle_chs_knights		nurgle_chs_knights	hu1c\chs\chs_warriors_of_chaos\low_poly\chs_warriors_lowlod	1.0	1.0	0.05	hu1\imposter\humanoid_imposter
nurgle_chs_warriors		nurgle_chs_warriors	hu1c\chs\chs_warriors_of_chaos\low_poly\chs_warriors_lowlod	1.0	1.0	0.05	hu1\imposter\humanoid_imposter
nurgle_chs_warriors_chosen		nurgle_chs_warriors_chosen	hu1c\chs\chs_chosen\low_poly\chs_chosen_lowlod	1.0	1.0	0.05	hu1\imposter\humanoid_imposter
nurgle_chs_warriors_chosen_great_weapons		nurgle_chs_warriors_chosen_great_weapons	hu1c\chs\chs_chosen\low_poly\chs_chosen_great_lowlod	1.0	1.0	0.05	hu1\imposter\humanoid_imposter
nurgle_chs_warriors_chosen_halberd		nurgle_chs_warriors_chosen_halberd	hu1c\chs\chs_chosen\low_poly\chs_chosen_halberd_lowlod	1.0	1.0	0.05	hu1\imposter\humanoid_imposter
nurgle_chs_warriors_great_weapons		nurgle_chs_warriors_great_weapons	hu1c\chs\chs_warriors_of_chaos\low_poly\chs_warriors_great_lowlod	1.0	1.0	0.05	hu1\imposter\humanoid_imposter
nurgle_chs_warriors_halberd		nurgle_chs_warriors_halberd	hu1c\chs\chs_warriors_of_chaos\low_poly\chs_warriors_halberd_lowlod	1.0	1.0	0.05	hu1\imposter\humanoid_imposter
nurgle_chs_warriors_aspiring_champions		nurgle_chs_aspiring_champions	hu1c\chs\chs_aspiring_champions\low_poly\chs_aspiring_champions_lowlod	1.0	1.16	0.05	hu1\imposter\humanoid_imposter
ovn_rbt_blightstormer		rbt_blightstormer		1.0	1.2	0.0	
rbt_nurgle_daemon		rbt_nurgle_daemon		1.0	1.3	0.05	
