technology_nodes_tables	3
campaign_key	faction_key	indent	key	technology_key	technology_node_set	tier	research_points_required	cost_per_round	food_cost	optional_ui_group	resource_cost
		1	rot_tech_nor_marauders_01	tech_dlc08_nor_marauders_01	ovn_rotbloods_tech	0	300	0	0		
		0	rot_tech_nor_marauders_02	tech_dlc08_nor_marauders_02	ovn_rotbloods_tech	1	500	0	0		
		1	rot_tech_nor_marauders_03	tech_dlc08_nor_marauders_03	ovn_rotbloods_tech	1	500	0	0		
		2	rot_tech_nor_marauders_04	tech_dlc08_nor_marauders_04	ovn_rotbloods_tech	1	500	0	0		
		0	rot_tech_nor_marauders_05	rot_nor_marauders_05	ovn_rotbloods_tech	2	800	0	0		
		1	rot_tech_nor_marauders_06	rot_nor_marauders_06	ovn_rotbloods_tech	2	500	0	0		
		2	rot_tech_nor_marauders_07	tech_dlc08_nor_marauders_07	ovn_rotbloods_tech	2	800	0	0		
		3	rot_tech_nor_nw_01	tech_dlc08_nor_nw_01	ovn_rotbloods_tech	9	1000	0	0		
		1	rot_tech_nor_nw_02	tech_dlc08_nor_nw_02	ovn_rotbloods_tech	10	1500	0	0		
		1	rot_tech_nor_nw_03	tech_dlc08_nor_nw_03	ovn_rotbloods_tech	11	100	0	0		
		2	rot_tech_nor_nw_04	tech_dlc08_nor_nw_04	ovn_rotbloods_tech	10	1500	0	0		
		2	rot_tech_nor_nw_05	tech_dlc08_nor_nw_05	ovn_rotbloods_tech	11	100	0	0		
		3	rot_tech_nor_nw_06	tech_dlc08_nor_nw_06	ovn_rotbloods_tech	10	1500	0	0		
		3	rot_tech_nor_nw_07	rot_nor_nw_07	ovn_rotbloods_tech	11	100	0	0		
		4	rot_tech_nor_nw_08	tech_dlc08_nor_nw_08	ovn_rotbloods_tech	10	1500	0	0		
		4	rot_tech_nor_nw_09	tech_dlc08_nor_nw_09	ovn_rotbloods_tech	11	100	0	0		
		5	rot_tech_nor_nw_10	tech_dlc08_nor_nw_10	ovn_rotbloods_tech	10	1500	0	0		
		5	rot_tech_nor_nw_11	tech_dlc08_nor_nw_11	ovn_rotbloods_tech	11	100	0	0		
		6	rot_tech_nor_nw_20	tech_dlc08_nor_nw_20	ovn_rotbloods_tech	10	1500	0	0		
		6	rot_tech_nor_nw_21	tech_dlc08_nor_nw_21	ovn_rotbloods_tech	11	100	0	0		
		3	rot_tech_nor_other_01	tech_dlc08_nor_other_01	ovn_rotbloods_tech	3	300	0	0		
		2	rot_tech_nor_other_02	tech_dlc08_nor_other_02	ovn_rotbloods_tech	4	800	0	0		
		3	rot_tech_nor_other_03	tech_dlc08_nor_other_03	ovn_rotbloods_tech	4	500	0	0		
		4	rot_tech_nor_other_04	tech_dlc08_nor_other_04	ovn_rotbloods_tech	4	500	0	0		
		3	rot_tech_nor_other_05	tech_dlc08_nor_other_05	ovn_rotbloods_tech	5	800	0	0		
		1	rot_tech_nor_other_06	tech_dlc08_nor_other_06	ovn_rotbloods_tech	6	1000	0	0		
		0	rot_tech_nor_other_07	tech_dlc08_nor_other_07	ovn_rotbloods_tech	7	1500	0	0		
		0	rot_tech_nor_other_08	tech_dlc08_nor_other_08	ovn_rotbloods_tech	8	100	0	0		
		1	rot_tech_nor_other_09	tech_dlc08_nor_other_09	ovn_rotbloods_tech	7	1500	0	0		
		1	rot_tech_nor_other_10	tech_dlc08_nor_other_10	ovn_rotbloods_tech	8	100	0	0		
		2	rot_tech_nor_other_11	tech_dlc08_nor_other_11	ovn_rotbloods_tech	7	1500	0	0		
		2	rot_tech_nor_other_12	tech_dlc08_nor_other_12	ovn_rotbloods_tech	8	100	0	0		
		5	rot_tech_nor_other_13	tech_dlc08_nor_other_13	ovn_rotbloods_tech	6	1000	0	0		
		4	rot_tech_nor_other_14	tech_dlc08_nor_other_14	ovn_rotbloods_tech	7	1500	0	0		
		4	rot_tech_nor_other_15	tech_dlc08_nor_other_15	ovn_rotbloods_tech	8	100	0	0		
		5	rot_tech_nor_other_16	tech_dlc08_nor_other_16	ovn_rotbloods_tech	7	1500	0	0		
		5	rot_tech_nor_other_17	rot_nor_other_17	ovn_rotbloods_tech	8	100	0	0		
		6	rot_tech_nor_other_18	tech_dlc08_nor_other_18	ovn_rotbloods_tech	7	1500	0	0		
		6	rot_tech_nor_other_19	tech_dlc08_nor_other_19	ovn_rotbloods_tech	8	100	0	0		
		5	rot_tech_new_1	tech_chs_branch_3_1	ovn_rotbloods_tech	0	100	10000	0		
		5	rot_tech_new_2	tech_chs_branch_3_4	ovn_rotbloods_tech	1	500	0	0		
		5	rot_tech_new_3	tech_chs_branch_4_4	ovn_rotbloods_tech	2	1000	0	0		
		6	rot_tech_new_5	tech_chs_branch_4_1	ovn_rotbloods_tech	0	100	10000	0		
		6	rot_tech_new_6	tech_chs_branch_5_4	ovn_rotbloods_tech	1	500	0	0		
		6	rot_tech_new_7	tech_chs_branch_5_2	ovn_rotbloods_tech	2	1000	0	0		
		7	rot_tech_new_9	tech_chs_branch_5_1	ovn_rotbloods_tech	1	100	10000	0		
		4	rot_tech_mon_1	rot_tech_mon_1	ovn_rotbloods_tech	0	300	0	0		
		4	rot_tech_mon_2	rot_tech_mon_2	ovn_rotbloods_tech	1	500	0	0		
		4	rot_tech_mon_3	tech_chs_branch_5_5	ovn_rotbloods_tech	2	1000	0	0		
	wh2_dlc11_cst_vampire_coast_qb1	0	ovn_rotbloods_dummy	tech_dwf_civ_5_0	ovn_rotbloods_tech	0	999999	0	0		
		-1	rot_tech_skv_1	rot_tech_skv_1	ovn_rotbloods_tech	2	100	0	0		pj_rot_warpstone_tech_50
		-1	rot_tech_skv_2	rot_tech_skv_2	ovn_rotbloods_tech	3	100	0	0		pj_rot_warpstone_tech_100
