land_units_additional_personalities_groups_junctions_tables	0
battle_personality	group
dread_wh2_dlc09_tmb_chariot_rider_0	dread_wh2_dlc09_tmb_chariot_riders_archers
dread_wh2_dlc09_tmb_chariot_rider_1_archer	dread_wh2_dlc09_tmb_chariot_riders_archers
dread_wh2_dlc09_tmb_chariot_rider_0	dread_wh2_dlc09_tmb_chariot_riders
dread_wh2_dlc09_tmb_chariot_rider_1	dread_wh2_dlc09_tmb_chariot_riders
dread_wh2_dlc09_tmb_warsphinx_rider_0	dread_wh2_dlc09_tmb_warsphinx_riders
dread_wh2_dlc09_tmb_warsphinx_rider_1	dread_wh2_dlc09_tmb_warsphinx_riders
dread_wh2_dlc09_tmb_warsphinx_rider_2	dread_wh2_dlc09_tmb_warsphinx_riders
dread_wh2_dlc09_tmb_warsphinx_rider_3	dread_wh2_dlc09_tmb_warsphinx_riders
ovn_fim_cav_bog_beast_rider	ovn_fim_cav_bog_beast_riders
ovn_arb_elephant_cannon	ovn_arb_war_elephant_ror_riders
wh_main_arb_elephant_rider_mahout	ovn_arb_war_elephant_ror_riders
ovn_arb_elephant_cannon_rider_0	ovn_arb_war_elephant_ror_riders
ovn_arb_elephant_cannon_rider_1	ovn_arb_war_elephant_ror_riders
wh_main_arb_elephant_rider_1	ovn_arb_war_elephant_ror_riders
wh_main_arb_elephant_rider_2	ovn_arb_war_elephant_ror_riders
wh_main_arb_elephant_rider_3	ovn_arb_war_elephant_ror_riders
wh_main_arb_elephant_rider_4	ovn_arb_war_elephant_ror_riders
ovn_mtl_inf_chuckwagon_rider_0	ovn_mtl_chuckwagon_riders
ovn_mtl_inf_chuckwagon_rider_1	ovn_mtl_chuckwagon_riders
ovn_arb_inf_djinn_vessel_sea	ovn_arb_cha_magician_life_riders
ovn_arb_inf_djinn_vessel_desert	ovn_arb_cha_magician_desert_riders
ovn_arb_inf_djinn_vessel_fire	ovn_arb_cha_magician_fire_riders
ovn_arb_inf_djinn_vessel_tempest	ovn_arb_cha_magician_heavens_riders
ovn_arb_cha_magician_life	ovn_arb_cha_magician_life_riders
ovn_arb_cha_magician_desert	ovn_arb_cha_magician_desert_riders
ovn_arb_cha_magician_fire	ovn_arb_cha_magician_fire_riders
ovn_arb_cha_magician_heavens	ovn_arb_cha_magician_heavens_riders
wh_main_mtl_soupcart_rider_0	wh_main_mtl_soupcart_riders
wh_main_arb_elephant_rider_mahout	wh_main_arb_elephant_riders
wh_main_arb_elephant_rider_mahout	wh_main_arb_war_elephant_riders
wh_main_arb_elephant_rider_0	wh_main_arb_war_elephant_riders
wh_main_arb_elephant_rider_1	wh_main_arb_war_elephant_riders
wh_main_arb_elephant_rider_2	wh_main_arb_war_elephant_riders
wh_main_arb_elephant_rider_3	wh_main_arb_war_elephant_riders
wh_main_arb_elephant_rider_4	wh_main_arb_war_elephant_riders
wh_main_arb_elephant_rider_5	wh_main_arb_war_elephant_riders
