land_units_tables	44
accuracy	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	historical_description_text	key	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	animal	num_animals	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strengths_&_weaknesses_text	supports_first_person	training_level	officers	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	reload	loose_spacing	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	mounted_draughts	sync_locomotion	can_brace
10	wh2_main_heavy_metal_120	2100	inf_melee	40	com	13	71	wh_dlc08_unit_long_text_nor_throgg	elo_chief_ugma	hu4b_troll_club	chief_ugma	45	65	70	9000			0	0	ugma_club		1	none	elo_chief_ugma	wh_main_monstrous_trolls	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	encourage_fear_hideForest_wallbreaker	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0	10.0	aquatic_large	0	0	0	0	0	0	15	0	melee_highvalue	false	false	false	true
10	wh2_main_body_5	2100	inf_ranged	5	inf_mis	15	45	wh_main_unit_long_text_grn_goblin_archers	elo_carrion_gobbo_bow	hu5_goblin_sword_bow	wh_main_grn_inf_goblin_blood_dismembers	8	12	40	45			0	0	carrion_gobbo_bone	carrion_bow	5	none	elo_carrion_gobbo_bow	wh_main_grn_orc_infantry_savage_rabble	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_expendable_guerrilla_hideForest	60	80	10	false	vo_sel_default	vo_sel_ranged	vo_sel_goblin_goblins	0.8	10.0	small	0	24	0	0	0	0	0	0	ranged	true	false	false	true
10	wh2_main_body_5	2100	cavalry	30	cav_mel	1	9	wh_main_unit_long_text_grn_night_goblin_squig_hoppers	elo_carrion_squig_hoppers	hu5_goblin_rp2_squig_sword	wh_main_grn_inf_goblin_cav_blood	20	16	50	85	wh_dlc06_grn_mnt_squig		0	80	wh_dlc06_grn_goblin_sword_squig_hopper		5	none	elo_carrion_gobbo_squig	wh_main_cavalry_very_chaotic	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_expendable_guerrilla_hideForest	60	80	0	false	vo_sel_goblin_squig_hoppers	vo_sel_squig	vo_sel_goblin_goblins	1.0	8.0	large	0	0	0	0	0	0	0	0	melee_cav	false	false	false	false
10	wh2_main_body_5	2100	inf_melee	8	inf_mel	15	45	wh_main_unit_long_text_grn_goblin_spearmen	elo_carrion_gobbo_melee	hu5_goblin_sword_and_shield	wh_main_grn_inf_goblin_blood_dismembers	22	18	40	45			0	0	carrion_gobbo_bone		8	wh_missile_block_55_wood	elo_carrion_gobbo	wh2_main_inf_chaotic_formation_tight	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_expendable_guerrilla_hideForest	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_goblin_goblins	0.8	10.0	small	0	0	0	0	0	0	0	0	melee	false	false	false	true
10	wh2_main_body_70	2100	inf_melee	40	inf_mel	20	65	wh2_dlc15_unit_long_text_grn_mon_stone_trolls	elo_night_trolls_ror	hu4c_dlc15_stone_troll_2h_club	wh2_dlc15_monster_troll_stone_blood	52	42	60	546			0	0	night_troll_greataxe		3	none	elo_night_trolls_ror	wh_main_monstrous_trolls	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_fear_guerrilla_terror	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	10.0	large	0	0	0	25	0	0	30	0	melee_gatecrusher_shock	false	false	false	true
10	wh2_main_heavy_metal_120	2100	inf_melee	34	inf_mel	20	65	wh_dlc08_unit_long_text_nor_norscan_ice_trolls	elo_armoured_icetrolls	hu4c_ice_troll_club	wh_main_monster_troll_ice_blood	38	34	40	486			0	0	wh_dlc08_club_ice_troll		3	none	elo_armoured_icetrolls	wh_main_monstrous_trolls	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_fear	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	10.0	large	0	0	-20	0	0	0	0	0	melee_gatecrusher_shock	false	false	false	true
10	wh2_main_body_40	2100	inf_melee	24	inf_mel	20	65	wh_main_unit_long_text_grn_trolls	elo_southern_trolls	hu4b_troll_club	small_troll	26	22	40	345			0	0	wh_main_club_troll		3	none	elo_southern_trolls	wh_main_monstrous_trolls	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_fear	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	10.0	large	0	0	0	0	0	0	0	0	melee_gatecrusher_shock	false	false	false	true
10	wh2_main_heavy_metal_120	2100	inf_melee	40	inf_mel	20	65	wh_dlc08_unit_long_text_nor_norscan_ice_trolls	elo_red_avalanche	hu4c_ice_troll_club	wh_main_monster_troll_ice_blood	50	45	60	525			0	0	wh_dlc08_club_ice_troll		3	none	elo_red_avalanche	wh_main_monstrous_trolls	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_fear_terror	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	10.0	large	0	0	-20	0	0	0	0	0	melee_gatecrusher_shock	false	false	false	true
10	wh2_main_body_40	2100	inf_melee	20	inf_mel	20	65	wh_main_unit_long_text_chs_chaos_trolls	elo_river_trolls	hu4b_troll_club	river_troll	32	30	40	460			0	0	elo_river_troll_club		3	none	elo_river_trolls	wh_main_monstrous_trolls	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_fear	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	10.0	aquatic_large	0	0	0	0	0	0	0	0	melee_gatecrusher_shock	false	false	false	true
10	wh2_main_body_70	2100	inf_melee	40	inf_mel	20	65	wh_dlc08_unit_long_text_nor_norscan_ice_trolls	elo_mountain_trolls	hu4b_troll_club	mountain_troll	48	18	30	625			0	0	chaos_stone_troll_club		3	none	elo_mountain_trolls	wh_main_monstrous_trolls	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_fear	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	10.0	large	0	0	0	50	0	0	0	0	melee_gatecrusher_shock	false	false	false	true
