mercenary_unit_groups_tables	2
chance_to_replenish	key	max_count	unit_record	use_partial_replenishment	max_replenish_per_turn
100.0	ovn_finmor_belakor	1	ovn_finmor_belakor	true	0.1
100.0	ovn_gharnus_demon	1	ovn_gharnus_demon	true	0.1
100.0	ovn_killing_eye	1	ovn_killing_eye	true	0.1
100.0	wh_pro04_nor_mon_marauder_warwolves_ror_0	1	wh_pro04_nor_mon_marauder_warwolves_ror_0	true	0.0
100.0	ovn_arb_cav_flying_carpet_ror	1	ovn_arb_cav_flying_carpet_ror	true	0.0
100.0	albion_shieldmaiden_ror	1	albion_shieldmaiden_ror	true	0.1
100.0	albion_bologs_giant_ror	1	albion_bologs_giant_ror	true	0.1
100.0	elo_fly_infested_rotwood	1	elo_fly_infested_rotwood	true	0.1
100.0	albion_woadraider_sworn_ror	1	albion_woadraider_sworn_ror	true	0.1
100.0	alb_cav_noble_first_ror	1	alb_cav_noble_first_ror	true	0.1
100.0	albion_warriors_lugh	1	albion_warriors_lugh	true	0.1
100.0	albion_huntresses_warden_ror	1	albion_huntresses_warden_ror	true	0.1
100.0	albion_centaur_hunter_ror	1	albion_centaur_hunter_ror	true	0.1
100.0	albion_cachtorr_stonethrower	1	albion_cachtorr_stonethrower	true	0.1
100.0	albion_highlander_ror	1	albion_highlander_ror	true	0.1
100.0	elo_red_avalanche	1	elo_red_avalanche	true	0.1
100.0	elo_shipwreckers	1	elo_shipwreckers	true	0.1
100.0	elo_kin	1	elo_kin	true	0.1
100.0	elo_night_trolls_ror	1	elo_night_trolls_ror	true	0.1
100.0	elo_warpstone_trolls	1	elo_warpstone_trolls	true	0.1
100.0	halfling_warfoot	1	halfling_warfoot	true	0.1
100.0	halfling_cock	1	halfling_cock	true	0.1
100.0	wh_main_mtl_veh_soupcart	1	wh_main_mtl_veh_soupcart	true	0.1
100.0	sr_ogre_ror	1	sr_ogre_ror	true	0.1
100.0	halfling_cat_ror	1	halfling_cat_ror	true	0.1
100.0	grudgebringer_infantry	1	grudgebringer_infantry	true	0.1
100.0	grudgebringer_cannon	1	grudgebringer_cannon	true	0.1
100.0	grudgebringer_crossbow	1	grudgebringer_crossbow	true	0.1
100.0	helmgart_bowmen	1	helmgart_bowmen	true	0.1
100.0	keelers_longbows	1	keelers_longbows	true	0.1
100.0	dargrimm_firebeard_dwarf_warriors	1	dargrimm_firebeard_dwarf_warriors	true	0.1
100.0	azguz_bloodfist_dwarf_warriors	1	azguz_bloodfist_dwarf_warriors	true	0.1
100.0	urblab_rotgut_mercenary_ogres	1	urblab_rotgut_mercenary_ogres	true	0.1
100.0	treeman_knarlroot	1	treeman_knarlroot	true	0.1
100.0	galed_elf_archers	1	galed_elf_archers	true	0.1
100.0	elrod_wood_elf_glade_guards	1	elrod_wood_elf_glade_guards	true	0.1
100.0	black_avangers	1	black_avangers	true	0.1
100.0	carlsson_cavalry	1	carlsson_cavalry	true	0.1
100.0	carlsson_guard	1	carlsson_guard	true	0.1
100.0	countess_guard	1	countess_guard	true	0.1
100.0	vannheim_75th	1	vannheim_75th	true	0.1
100.0	treeman_gnarl_fist	1	treeman_gnarl_fist	true	0.1
100.0	ragnar_wolves	1	ragnar_wolves	true	0.1
100.0	ceridan	1	ceridan	true	0.1
100.0	ovn_jag_ror	1	ovn_jag_ror	true	0.1
100.0	ovn_jez_ror	1	ovn_jez_ror	true	0.1
100.0	ovn_cat_knights_ror	1	ovn_cat_knights_ror	true	0.1
100.0	ovn_knights_ror	1	ovn_knights_ror	true	0.1
100.0	ovn_bom_ror	1	ovn_bom_ror	true	0.1
100.0	ovn_elephant_ror	1	ovn_elephant_ror	true	0.1
100.0	ovn_arb_mon_war_elephant_ror	1	ovn_arb_mon_war_elephant_ror	true	0.1
100.0	elo_red_avalanche_ugma	1	elo_red_avalanche	true	0.1
100.0	elo_shipwreckers_ugma	1	elo_shipwreckers	true	0.1
100.0	elo_kin_ugma	1	elo_kin	true	0.1
100.0	elo_night_trolls_ror_ugma	1	elo_night_trolls_ror	true	0.1
100.0	wh2_dlc15_grn_mon_river_trolls_ror_0_ugma	1	elo_night_trolls_ror	true	0.1
100.0	cr_hef_veh_lothern_skycutter_ror	1	cr_hef_veh_lothern_skycutter_ror	true	0.0
