projectile_displays_tables	10
display_model	impact	key	launch_fx	trail_fx	stationary_fx	airborne_anim	landing_anim	tip_offset	trail_spin	launch_camera_shake	impact_bounce	impact_penetrate	impact_blood	impact_bounce_blood	impact_penetrate_blood
	wh_main_mtl_soup_projectile	reckless_taste						0.0	false	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact			
projectiles\ovn_trl_throwing_bone_01.rigid_model_v2	wh_main_impact_medium	ovn_trl_throwing_bone		wh_main_weapon_trail_arrow_medium				0.0	false		wh_main_bounce_impact	wh_main_entity_impact			
projectiles/ovn_com_fireworks_rocket_01.wsmodel	wh_main_impact_very_small	ovn_com_firework_rocket		wh_main_weapon_trail_rocket_medium				0.0	true	wh_main_unit_launch_light	wh_main_impact_very_small	wh_main_entity_impact			
projectiles\wh_emp_rocket_shrapnel.rigid_model_v2	wh2_main_hero_abilities_doomrocket_impact	ovn_com_firework_rocket_shrapnel		wh2_main_abilities_doomrocket_shrapnel_trail				0.0	true	wh_main_unit_launch_light	wh2_main_hero_abilities_doomrocket_impact	wh2_main_hero_abilities_doomrocket_impact			
projectiles\ovn_arb_grand_bombard_projectile_01.wsmodel	ovn_arb_grand_bombard_projectile_impact	ovn_arb_grand_bombard_projectile	wh_main_weapon_muzzle_flash_large	wh_main_weapon_trail_smoke_large				0.0	false	wh_main_unit_launch_heavy	wh_main_bounce_impact	wh_main_entity_impact			
	wh_main_mtl_soup_projectile	wh_main_mtl_soup_projectile		wh_main_soup_projectile_trail				0.0	false	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact			
projectiles\mtl_hotpot_projectile_01.wsmodel	wh_main_mtl_soup_projectile	ovn_mtl_hotpot_projectile		wh_main_soup_projectile_trail				0.0	false	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact			
projectiles\mtl_hotpot_ror_projectile_01.wsmodel	ovn_mtl_hotpot_ror_projectile	ovn_mtl_hotpot_ror_projectile		ovn_mtl_hotpot_ror_projectile_trail				0.0	false	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact			
projectiles\ovn_fim_javelin_01_projectile.rigid_model_v2	wh_main_impact_very_small	ovn_fim_javelin		wh_main_weapon_trail_javelin				0.0	false		wh_main_bounce_impact	wh_main_entity_impact			
	wh_main_bound_spell_solheims_bolt_of_illumination	ovn_spell_desert_sunstrike	ovn_desert_sunstrike_launch	ovn_desert_sunstrike				0.0	false	wh_main_unit_launch_light	wh_main_bound_spell_solheims_bolt_of_illumination	wh_main_bound_spell_solheims_bolt_of_illumination			
projectiles\crow_spell.rigid_model_v2	wh_dlc05_impact_wef_arrow_trueflight	crow_projectile		wh_dlc05_wef_trueflight_arrow_trail		animations\campaign_fauna\birds\cam_fauna_bird_01\cam_fauna_bird_flight_circle_1.anim		0.0	false		wh_main_bounce_impact	wh_main_entity_impact	wh_grn_doomdiver_goblin_blood	wh_main_bounce_impact	wh_grn_doomdiver_goblin_blood
projectiles\wh2_dlc09_tmb_screaming_skull_catapult_skull_large.wsmodel	wh2_main_abilities_soul_storm_impact	elo_skull_spell		wh2_dlc09_lib_machine_screaming_skull_catapult_large_trail	wh2_dlc09_campaign_book_of_nagash			0.0	false		wh_main_impact_very_large	wh_main_impact_very_large			
