land_units_tables	44
accuracy	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	historical_description_text	key	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	animal	num_animals	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strengths_&_weaknesses_text	supports_first_person	training_level	officers	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	reload	loose_spacing	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	mounted_draughts	sync_locomotion	can_brace
10	wh2_main_body_80	2100	war_beast	52	cav_shk	20	33	wh_dlc08_unit_long_text_nor_fimir_warriors	ovn_fim_cav_bog_beast_riders_0	hu7d_fimir_2handed_axe	wh_main_cavalry_rider_standard_blood	29	25	62	526	ovn_fim_mnt_bog_beast		0	16	ovn_fim_bog_beast		2	none	ovn_unit_short_text_fim_cav_bog_beast_riders	wh_main_monstrous_bog_beast	placeholder	false	trained	ovn_fim_cav_bog_beast_officer			true	40.0	1500.0	0.0	wh_fear_hideForest_terror	60	80	10	false	vo_sel_generic	vo_sel_generic	vo_sel_generic	1.0	8.0	aquatic_large	0	0	0	0	0	0	15	0	melee_cav_shock	false	false	false	false
10	wh2_main_leather_30	2100	inf_melee	18	inf_mel	20	65	wh_dlc08_unit_long_text_nor_fimir_warriors	ovn_shearl	hu7d_fimir_dual_axes	ovn_lesser_fimir	27	24	50	100			0	0	ovn_shearl		7	none	ovn_shearl	wh_main_grn_orc_infantry_big_uns	placeholder	false	trained	ovn_shearl			true	40.0	1500.0	0.0	ovn_shearl	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0	10.0	small	0	0	0	0	0	0	0	0	melee	false	false	false	true
10	wh2_main_leather_50	2100	inf_melee	25	inf_mel	20	65	wh_dlc08_unit_long_text_nor_fimir_warriors	ovn_death_quest	hu7d_fimir_dual_axes	ovn_lesser_fimir	32	20	70	127			0	0	ovn_death_quest		7	wh_missile_block_35_metal	ovn_death_quest	wh_main_grn_orc_infantry_big_uns	placeholder	false	trained	ovn_death_quest			true	40.0	1500.0	0.0	ovn_death_quest	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0	10.0	small	0	0	0	0	0	10	0	0	melee	false	false	false	true
10	wh2_main_leather_50	2100	inf_melee	28	inf_mel	20	65	wh_dlc08_unit_long_text_nor_fimir_warriors	ovn_killing_eye	hu7d_fimir_dual_axes	ovn_lesser_fimir	40	28	80	127			0	0	ovn_death_quest		7	none	ovn_killing_eye	wh_main_grn_orc_infantry_big_uns	placeholder	false	trained	ovn_killing_eye			true	40.0	1500.0	0.0	ovn_killing_eye	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0	10.0	small	0	0	0	0	0	10	0	0	melee	false	false	false	true
10	wh2_main_heavy_metal_120	2100	inf_melee	36	inf_mel	20	65	wh_dlc08_unit_long_text_nor_fimir_warriors	ovn_fianna_fimm	hu7d_fimir_dual_axes	wh_main_monster_troll_blood	44	40	80	506			0	0	ovn_fianna_fimm		3	wh_missile_block_35_metal	ovn_fianna_fimm	wh_main_monstrous_trolls	placeholder	false	trained	ovn_fianna_fimm			true	40.0	1500.0	0.0	ovn_fianna_fimm	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0	10.0	large	0	0	0	0	0	0	0	0	melee_gatecrusher_shock	false	false	false	true
10	wh2_main_heavy_metal_120	2100	inf_melee	36	inf_mel	20	65	wh_dlc08_unit_long_text_nor_fimir_warriors	ovn_gharnus_demon	hu7d_fimir_dual_axes	wh_main_monster_troll_blood	50	52	90	506			0	0	ovn_gharnus_demon		3	none	ovn_gharnus_demon	wh_main_monstrous_trolls	placeholder	false	trained	ovn_gharnus_demon			true	40.0	1500.0	0.0	ovn_fianna_fimm	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0	10.0	large	0	0	0	0	0	0	0	0	melee_gatecrusher_shock	false	false	false	true
10	wh2_main_heavy_metal_110	2100	inf_melee	30	inf_mel	20	65	wh_dlc08_unit_long_text_nor_fimir_warriors	ovn_fimm	hu7d_fimir_2handed_axe	wh_dlc08_nor_monster_fimir_blood	30	42	75	506			0	0	ovn_fimm_guard		3	none	ovn_fimm_guard	wh_main_monstrous_trolls	placeholder	false	trained	ovn_fimm			true	40.0	1500.0	0.0	ovn_fimm_guard	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0	10.0	large	0	0	0	0	0	0	0	0	melee_gatecrusher_shock	false	false	false	true
10	wh2_main_heavy_metal_100	2100	inf_melee	40	inf_mel	20	33	wh_dlc08_unit_long_text_nor_fimir_warriors	ovn_mistmor	hu7d_fimir_2handed_axe	ovn_mistmor	46	42	70	6012			0	0	wh_dlc03_bst_gor_axe_gorebull		1	none	ovn_mistmor	wh_main_monster	placeholder	false	trained	ovn_mistmor			true	40.0	1500.0	0.0	ovn_mistmor	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0	10.0	large	0	0	0	0	0	0	0	0	melee_gatecrusher_shock	false	false	false	true
10	wh_main_body_0	2100	inf_melee	5	inf_mel	5	15	wh_main_unit_long_text_grn_goblin_spearmen	ovn_boglar	hu5_goblin_sword	wh_main_grn_inf_goblin_blood_dismembers	16	14	42	40			0	0	wh_main_sword_short		10	none	ovn_boglar	wh_main_grn_goblin_infantry_standard	placeholder	false	trained	ovn_boglar			true	40.0	1500.0	0.0	wh_expendable_hideForest	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_goblin_goblins	0.8	10.0	small	0	0	0	0	0	0	0	0	melee	false	false	false	true
10	wh2_main_body_70	2100	inf_melee	52	inf_mel	20	65	wh_main_unit_long_text_chs_dragon_ogre_shaggoth	ovn_zoat	ce2_dragon_ogre_2handed_axe	wh_dlc01_chs_dragon_ogre_shaggoth_blood	52	50	75	8580			0	0	wh_dlc01_chs_dragon_ogre_shaggoth		1	none	ovn_zoat	wh_main_monster	placeholder	false	trained	ovn_zoat			true	40.0	1500.0	0.0	wh_fear_terror	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	10.0	large	0	0	0	0	0	0	25	0	melee_gatecrusher	false	false	false	true
10	wh2_main_heavy_metal_65	2100	inf_ranged	27	inf_mis	20	65	wh_dlc08_unit_long_text_nor_fimir_warriors	ovn_fim_mon_caster_0	hu7d_fimir_2handed_staff_ranged	wh_dlc08_nor_monster_fimir_blood	28	38	70	506			0	0	ovn_shearl	ovn_fimir_gaze	3	none	ovn_unit_short_text_fim_mon_caster_0	wh_main_monstrous_trolls	placeholder	false	trained	ovn_fim_mon_caster_0			true	40.0	1500.0	0.0	wh_fear_hideForest	60	80	10	false	vo_sel_handgunners	vo_sel_ranged	vo_sel_culture	1.0	10.0	small	0	22	0	0	0	0	0	0	ranged_direct	true	false	false	true
