campaign_stances_composite_scenes_tables	1
composite_scene	group	stance
raiding_stance	wh_stance_csc_warp	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
wh2_main_skv_encampment	wh_stance_csc_warp	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP_RAIDING
raiding_stance	wh_stance_csc_troll	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
wh2_main_skv_encampment	wh_stance_csc_troll	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP_RAIDING
raiding_stance	wh_stance_csc_fimir	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
wh2_main_skv_encampment	wh_stance_csc_fimir	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP_RAIDING
raiding_stance	wh_stance_csc_albion	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
norsca_encampment	wh_stance_csc_albion	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP_RAIDING
raiding_stance	wh_stance_csc_amazon	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
wh2_main_lzd_encampment	wh_stance_csc_amazon	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
raiding_stance	wh_stance_csc_araby	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
empire_camp	wh_stance_csc_araby	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
wh2_dlc09_tmb_encampment	wh_stance_csc_araby	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
