units_to_groupings_military_permissions_tables	0
unit	military_group
albion_centaurs	ovn_albion
albion_morrigan	ovn_albion
albion_chariot	ovn_albion
albion_chief	ovn_albion
albion_fenhulk	ovn_albion
albion_giant	ovn_albion
albion_half_giants	ovn_albion
albion_hearthguard	ovn_albion
albion_hearthguard_2h	ovn_albion
albion_hearthguard_halberd	ovn_albion
albion_huntresses	ovn_albion
albion_riders	ovn_albion
albion_riders_javelins	ovn_albion
albion_stonethrower	ovn_albion
albion_warleader	ovn_albion
albion_wyrd_druid	ovn_albion
druid_neophytes	ovn_albion
elo_albion_cha_queen	ovn_albion
elo_albion_warriors	ovn_albion
elo_albion_warriors_2h	ovn_albion
elo_albion_warriors_spears	ovn_albion
elo_bloodhounds	ovn_albion
elo_fenbeast	ovn_albion
elo_woadraider	ovn_albion
elo_youngbloods	ovn_albion
albion_wyrd_druid_horse	ovn_albion
albion_truthsayer_beast	ovn_albion
albion_truthsayer_beast_horse	ovn_albion
albion_truthsayer_life	ovn_albion
albion_truthsayer_life_horse	ovn_albion
albion_truthsayer_light	ovn_albion
albion_truthsayer_light_horse	ovn_albion
albion_truthsayer_truth	ovn_albion
albion_truthsayer_truth_horse	ovn_albion
albion_chief_chariot	ovn_albion
albion_chief_horse	ovn_albion
albion_swordmaiden	ovn_albion
elo_albion_gryphon	ovn_albion
alb_cav_noble	ovn_albion
alb_cav_noble_spear	ovn_albion
alb_viridian_champ	ovn_albion
albion_riders_spear	ovn_albion
ovn_alb_inf_stone_throw_giant	ovn_albion
ovn_barrow_wight	ovn_albion
wh2_dlc16_wef_mon_zoats	ovn_albion
albion_shieldmaiden_ror	ovn_albion
albion_bologs_giant_ror	ovn_albion
elo_fly_infested_rotwood	ovn_albion
albion_woadraider_sworn_ror	ovn_albion
alb_cav_noble_first_ror	ovn_albion
albion_warriors_lugh	ovn_albion
albion_huntresses_warden_ror	ovn_albion
albion_centaur_hunter_ror	ovn_albion
albion_cachtorr_stonethrower	ovn_albion
albion_highlander_ror	ovn_albion
