technology_node_links_tables	2
child_key	initial_descent_tiers	parent_key	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset
tech_chs_dawi_branch_1_1	0	tech_chs_dawi_main_1	3	4	0.0	0.0
tech_chs_dawi_branch_1_2	0	tech_chs_dawi_main_1	3	4	0.0	0.0
tech_chs_dawi_branch_1_3	0	tech_chs_dawi_main_1	3	4	0.0	0.0
tech_chs_dawi_branch_1_4	0	tech_chs_dawi_main_1	3	4	0.0	0.0
tech_chs_dawi_branch_1_5	0	tech_chs_dawi_main_1	3	4	0.0	0.0
tech_chs_dawi_branch_2_1	0	tech_chs_dawi_main_2	3	4	0.0	0.0
tech_chs_dawi_branch_2_2	0	tech_chs_dawi_main_2	3	4	0.0	0.0
tech_chs_dawi_branch_2_3	0	tech_chs_dawi_main_2	3	4	0.0	0.0
tech_chs_dawi_branch_2_4	0	tech_chs_dawi_main_2	3	4	0.0	0.0
tech_chs_dawi_branch_2_5	0	tech_chs_dawi_main_2	3	4	0.0	0.0
tech_chs_dawi_branch_3_1	0	tech_chs_dawi_main_3	3	4	0.0	0.0
tech_chs_dawi_branch_3_2	0	tech_chs_dawi_main_3	3	4	0.0	0.0
tech_chs_dawi_branch_3_6	0	tech_chs_dawi_main_3	3	4	0.0	0.0
tech_chs_dawi_branch_3_7	0	tech_chs_dawi_main_3	3	4	0.0	0.0
tech_chs_dawi_branch_3_8	0	tech_chs_dawi_main_3	3	4	0.0	0.0
tech_chs_dawi_branch_4_8	0	tech_chs_dawi_main_4	3	4	0.0	0.0
tech_chs_dawi_branch_3_3	0	tech_chs_dawi_main_3	3	4	0.0	0.0
tech_chs_dawi_branch_3_4	0	tech_chs_dawi_main_3	3	4	0.0	0.0
tech_chs_dawi_branch_3_5	0	tech_chs_dawi_main_3	3	4	0.0	0.0
tech_chs_dawi_branch_4_1	0	tech_chs_dawi_main_4	3	4	0.0	0.0
tech_chs_dawi_branch_4_2	0	tech_chs_dawi_main_4	3	4	0.0	0.0
tech_chs_dawi_branch_4_6	0	tech_chs_dawi_main_4	3	4	0.0	0.0
tech_chs_dawi_branch_4_7	0	tech_chs_dawi_main_4	3	4	0.0	0.0
tech_chs_dawi_branch_4_3	0	tech_chs_dawi_main_4	3	4	0.0	0.0
tech_chs_dawi_branch_4_4	0	tech_chs_dawi_main_4	3	4	0.0	0.0
tech_chs_dawi_branch_4_5	0	tech_chs_dawi_main_4	3	4	0.0	0.0
tech_chs_dawi_branch_5_1	0	tech_chs_dawi_main_5	3	4	0.0	0.0
tech_chs_dawi_branch_5_2	0	tech_chs_dawi_main_5	3	4	0.0	0.0
tech_chs_dawi_branch_5_3	0	tech_chs_dawi_main_5	3	4	0.0	0.0
tech_chs_dawi_branch_5_6	0	tech_chs_dawi_main_5	3	4	0.0	0.0
tech_chs_dawi_branch_5_4	0	tech_chs_dawi_main_5	3	4	0.0	0.0
tech_chs_dawi_branch_5_5	0	tech_chs_dawi_main_5	3	4	0.0	0.0
tech_chs_dawi_branch_5_7	0	tech_chs_dawi_main_5	3	4	0.0	0.0
tech_chs_dawi_main_2	0	tech_chs_dawi_main_1	2	4	0.0	0.0
tech_chs_dawi_main_3	0	tech_chs_dawi_main_2	2	4	0.0	0.0
tech_chs_dawi_main_4	0	tech_chs_dawi_main_3	2	4	0.0	0.0
tech_chs_dawi_main_5	0	tech_chs_dawi_main_4	2	4	0.0	0.0
