building_upgrades_junction_tables	0
from	to
ovn_nor_outpost_major_human_4	ovn_nor_outpost_major_human_5
ovn_chorfs_resource_building_amber_1	ovn_chorfs_resource_building_amber_2
ovn_chorfs_resource_building_animals_1	ovn_chorfs_resource_building_animals_2
ovn_chorfs_resource_building_furs_1	ovn_chorfs_resource_building_furs_2
ovn_chorfs_resource_building_gems_1	ovn_chorfs_resource_building_gems_2
ovn_chorfs_resource_building_gold_1	ovn_chorfs_resource_building_gold_2
ovn_chorfs_resource_building_iron_1	ovn_chorfs_resource_building_iron_2
ovn_chorfs_resource_building_medicine_1	ovn_chorfs_resource_building_medicine_2
ovn_chorfs_resource_building_obsidian_1	ovn_chorfs_resource_building_obsidian_2
ovn_chorfs_resource_building_pottery_1	ovn_chorfs_resource_building_pottery_2
ovn_chorfs_resource_building_salt_1	ovn_chorfs_resource_building_salt_2
ovn_chorfs_resource_building_timber_1	ovn_chorfs_resource_building_timber_2
ovn_cd_boss_1	ovn_cd_boss_2
wh_main_nor_outpost_major_human_4_coast	ovn_nor_outpost_major_human_5_coast
ovn_cd_Walls_1	ovn_cd_Walls_2
ovn_cd_Walls_2	ovn_cd_Walls_3
